Varenavn,Årsforbrug,Pris,Ordreomkostning,Rentesats
Industri Palle EUR 120x80cm,12500,145,350,4.5
Industri Palle DK 100x120cm,8900,165,350,4.5
Stretchfilm 500mm x 300m Klar,5600,285,180,4.2
Stretchfilm 500mm x 300m Sort,3200,295,180,4.2
Tape Pakke 50mm x 66m Brun,8400,22,120,3.8
Tape Pakke 50mm x 66m Klar,6800,24,120,3.8
Bobleplast 1500mm x 100m,2100,850,220,4.5
Papir Polstring 750mm x 250m,1850,620,200,4.5
Papkasse 40x30x30cm Enkelt,15200,18,150,3.5
Papkasse 60x40x40cm Dobbelt,9800,32,150,3.5
Papkasse 80x60x60cm Dobbelt,4500,58,170,3.5
Europalle Indsats 120x80cm,6200,95,140,3.8
Krympehætte 1270x1880mm 200my,3800,185,165,4.0
Spændeband Polyester 25mm 500kg,4200,68,130,3.8
Hjørnebeskytter Pap L-form 50x50x5mm,12400,8,110,3.5
Kantbeskytter Plast 35x35mm Sort,8600,15,115,3.5
Adressemærkat 105x148mm 1000stk,2800,145,125,3.8
Fragil Klistermærke 100x100mm Rulle,4500,85,120,3.6
Sikkerhedslak Transparent 50mm x 50m,3200,125,130,3.8
Pallegaffel Manuel 2500kg 1150mm,85,4500,380,5.5
Palleløfter Elektrisk 1500kg 1200mm,42,18500,550,6.0
Håndtruck Aluminium 250kg,125,1850,240,4.8
Trillebør Stål 100L,95,880,180,4.5
Plastbakke Stabelbar 60x40x22cm Blå,2400,185,155,4.0
Plastbakke Stabelbar 40x30x17cm Grøn,3800,125,145,4.0
Plastbakke Med Låg 60x40x22cm,1650,245,165,4.0
Foldbar Plastkasse 60x40x32cm,1280,385,175,4.2
Euro Stabelkasse 60x40x43cm Grå,980,420,180,4.2
Transportkasse Robust 80x60x60cm,680,680,195,4.5
Industri Affaldssæk 240L Sort 50my,18500,12,140,3.2
Affaldssæk HD 140L Blå 40my,12800,8,130,3.2
Affaldssæk LD 60L Hvid 25my,24500,4,120,3.0
Big Bag 90x90x110cm 1000kg,2400,165,160,4.0
Big Bag 90x90x180cm 1500kg,1580,245,170,4.0
Plastdunk 30L Med Låg Hvid,1840,125,145,3.8
Plastdunk 60L Med Låg Blå,1260,185,155,3.8
Spand 20L Med Hank Sort,2650,68,135,3.6
Spand 10L Med Låg Hvid,3280,45,130,3.6
Arbejdshandske Latex Str 9 Par,8900,42,125,3.5
Arbejdshandske Nitril Str 10 Par,7200,58,125,3.5
Sikkerhedshandske Skærebeskyttelse Str 9,1850,185,150,4.0
Varmehandske Læder Str 10,980,245,155,4.2
Sikkerhedsbrille Klar Antidugg,4200,85,130,3.8
Høreværn Peltor SportTac,680,1250,210,4.8
Åndedrætsmaske FFP2 50stk,5800,280,160,4.0
Sikkerhedssko S3 Str 43 Par,1240,1480,220,5.0
Arbejdsbukser Canvas Str 52,1580,680,190,4.5
Arbejdsjakke Softshell Str L,980,980,200,4.8
Signalvest Orange EN471 Str XL,2800,95,135,3.8
Sikkerhedshjelm ABS Hvid,1650,245,150,4.0
Førstehjælpskasse Komplet,480,580,175,4.2
Brandsluker 6kg Pulver ABC,340,680,185,4.5
Brandtæppe 120x180cm,285,485,170,4.2
Skilte Nødudgang LED 300x150mm,420,385,165,4.0
Industristøvsuger 3600W 80L,58,8500,420,5.8
Højtryksspuler 160bar 2400W,85,6200,380,5.5
Kompressor 200L 5.5HP 400V,48,14500,480,6.0
Diiseltank 1000L Dobbelt,32,18500,550,6.0
Olietønde 200L Stål,145,2400,260,5.0
Affaldsbeholder 240L Med Hjul Grøn,380,1850,240,4.8
Container 1100L 4-Hjul Grå,165,4200,310,5.2
Depotcontainer 2m Med Låge,42,28500,650,6.5
Reolstativ Industri 2500x1000x500mm,240,2850,280,5.0
Pallereol 5000x2700x1100mm 3 Niv,85,8500,410,5.8
Hylde Til Pallereol 2700x1100mm,520,680,185,4.5
Bagvæg Pallereol 2700x1100mm,420,580,180,4.2
Traversbånd Pallereol 2700mm,680,245,155,4.0
Afskærmning Reol 2700x1100mm Gul,285,1250,215,4.8
Skiltefelt Reol Magnetisk A4,1850,85,135,3.8
Etikettholder Reol 100x50mm,3200,22,125,3.5
Industribord 2000x800mm Bøg,125,5200,340,5.5
Pakkebord 1500x900mm Med Hylder,95,6800,370,5.5
Arbejdsbænk 1800x750mm Stål,78,8200,400,5.8
LED Hallstråler 200W 28000lm,280,1850,235,4.8
LED Panel 60x60cm 40W 4400lm,980,485,175,4.2
Loftarmatur LED IP65 36W,620,680,185,4.5
Gulvlampe LED Workshop 50W,340,1250,210,4.8
Termometer Digital -50 til +300C,480,385,165,4.0
Fugtmåler Digital 0-100%,420,485,170,4.2
Vægt Platform 300kg 60x80cm,165,3850,295,5.2
Vægt Palle 2000kg 120x120cm,58,12500,450,6.0
Rullemål Laser 100m Professionel,240,2400,255,5.0
Vinkelmåler Digital 360° Med Display,380,680,185,4.5
Skydelare Digital 300mm Rustfri,520,1250,210,4.8
Stregkodescanner Trådløs 2D,280,2850,270,5.0
Stregkodeprinter Zebra ZT230 203dpi,95,8500,410,5.8
Etiketter 100x50mm Thermo Direkte,12500,145,145,3.8
Printer Ribber Wax 110mm x 300m,2400,185,155,4.0
Printer Ribben Resin 110mm x 300m,1580,285,165,4.2
Limtang Standard Med Prismærker,820,245,150,4.0
Limtang Professionel 2-Linjer,420,580,175,4.2
