Varenavn,Årsforbrug,Pris,Ordreomkostning,Rentesats,Kategori,Leverandør,Lagerlokation,Varenummer,Enhed,Minimumslagerbeholdning,Leveringstid (dage),Status
Vare-0001,2185,6373,190,4.8,Ergonomi,CableWorld ApS,Warehouse-11,SKU-0001,Rulle,328,6,Fase Ud
Vare-0002,4701,4624,273,4.8,Kontorartikler,ErgoShop ApS,Tilbehør Zone 14,SKU-0002,Rulle,705,8,Aktiv
Vare-0003,2325,7944,413,5.4,IT Hardware,Apple Denmark,Lager Zone 30,SKU-0003,Kasse,349,6,Aktiv
Vare-0004,1206,7870,150,4.4,Tools,Samsung Electronics,Tilbehør Zone 39,SKU-0004,Rulle,181,7,Aktiv
Vare-0005,3718,12245,289,4,Warehouse,OfficeSupply A/S,Hylde A2-10,SKU-0005,Stk,558,12,Aktiv
Vare-0006,2956,4005,330,4.7,Belysning,Dell Danmark A/S,Tilbehør Zone 6,SKU-0006,Kasse,443,3,Aktiv
Vare-0007,1754,9957,85,5.8,Electronics,HP Inc Danmark,Warehouse-94,SKU-0007,Rulle,263,4,Aktiv
Vare-0008,4419,4341,175,4.5,IT Hardware,Logitech Nordic,Tilbehør Zone 94,SKU-0008,Pakke,663,10,Aktiv
Vare-0009,4659,12058,327,4.1,Warehouse,Samsung Electronics,Hylde B1-15,SKU-0009,Stk,699,13,Fase Ud
Vare-0010,1540,14287,148,4.1,Tools,ErgoShop ApS,Hylde A2-17,SKU-0010,Æske,231,6,Aktiv
Vare-0011,3105,1559,448,5.3,Tools,Logitech Nordic,IT-Lager Zone 96,SKU-0011,Kasse,466,10,Aktiv
Vare-0012,2657,9720,86,5.7,Tilbehør,Dell Danmark A/S,Hylde B2-11,SKU-0012,Kasse,399,9,Aktiv
Vare-0013,957,1522,460,5.7,IT Hardware,HP Inc Danmark,Hylde B2-90,SKU-0013,Æske,144,13,Aktiv
Vare-0014,4249,11902,126,3.6,Ergonomi,Apple Denmark,Hylde A2-89,SKU-0014,Stk,637,13,Aktiv
Vare-0015,3305,12298,333,3.6,Møbel,OfficeSupply A/S,IT-Lager Zone 52,SKU-0015,Stk,496,1,Aktiv
Vare-0016,1114,11065,254,5.4,Belysning,Samsung Electronics,IT-Lager Zone 92,SKU-0016,Stk,167,9,Aktiv
Vare-0017,3701,7251,469,4,Belysning,Apple Denmark,Hylde A1-91,SKU-0017,Æske,555,1,Fase Ud
Vare-0018,2998,12143,143,5.2,Ergonomi,ASUS Denmark,Hylde A2-27,SKU-0018,Rulle,450,10,Aktiv
Vare-0019,4381,7823,392,4.2,Electronics,ErgoShop ApS,Warehouse-61,SKU-0019,Sæt,657,5,Aktiv
Vare-0020,2628,9734,453,5.3,Electronics,HP Inc Danmark,Tilbehør Zone 19,SKU-0020,Æske,394,2,Aktiv
Vare-0021,626,12773,406,4.2,Belysning,ASUS Denmark,Tilbehør Zone 21,SKU-0021,Sæt,94,3,Fase Ud
Vare-0022,2640,3179,254,5.1,Kontorartikler,Apple Denmark,Tilbehør Zone 2,SKU-0022,Pakke,396,6,Aktiv
Vare-0023,4116,2630,358,4.8,Ergonomi,Apple Denmark,Hylde B1-79,SKU-0023,Kasse,617,7,Aktiv
Vare-0024,2696,3814,330,5.4,Warehouse,Logitech Nordic,Tilbehør Zone 32,SKU-0024,Æske,404,2,Aktiv
Vare-0025,4612,13412,296,5,Kabler,OfficeSupply A/S,Hylde B1-55,SKU-0025,Stk,692,3,Aktiv
Vare-0026,1838,1583,397,3.5,Warehouse,ASUS Denmark,Hylde A1-68,SKU-0026,Pakke,276,3,Aktiv
Vare-0027,819,2195,150,4.2,Ergonomi,Samsung Electronics,Lager Zone 83,SKU-0027,Pakke,123,8,Fase Ud
Vare-0028,1989,4715,424,6.1,Warehouse,ASUS Denmark,Hylde A2-94,SKU-0028,Pakke,298,2,Aktiv
Vare-0029,2310,3097,223,4.7,Møbel,OfficeSupply A/S,Hylde A1-15,SKU-0029,Sæt,346,9,Fase Ud
Vare-0030,3271,2771,111,5.2,Belysning,Apple Denmark,Tilbehør Zone 40,SKU-0030,Pakke,491,8,Aktiv
Vare-0031,2168,12675,421,5.9,Kabler,Lenovo Denmark,Hylde A2-88,SKU-0031,Stk,325,7,Aktiv
Vare-0032,3667,9852,386,5.7,Belysning,ErgoShop ApS,Hylde A1-72,SKU-0032,Stk,550,2,Aktiv
Vare-0033,3227,13026,193,5.4,Ergonomi,ErgoShop ApS,Tilbehør Zone 43,SKU-0033,Stk,484,8,Aktiv
Vare-0034,4199,8555,133,3.6,Kabler,ErgoShop ApS,Hylde A1-35,SKU-0034,Kasse,630,13,Aktiv
Vare-0035,2510,9118,461,4.4,Electronics,Dell Danmark A/S,Tilbehør Zone 14,SKU-0035,Stk,376,8,Aktiv
Vare-0036,1755,6772,270,4.2,Kontorartikler,CableWorld ApS,Hylde B2-12,SKU-0036,Sæt,263,10,Aktiv
Vare-0037,4909,4806,193,5.5,Tools,Dell Danmark A/S,Warehouse-47,SKU-0037,Rulle,736,11,Aktiv
Vare-0038,1407,6770,397,4.6,Tools,Samsung Electronics,Hylde A1-92,SKU-0038,Æske,211,9,Aktiv
Vare-0039,1651,2733,243,5.7,Warehouse,ASUS Denmark,Hylde B1-95,SKU-0039,Pakke,248,2,Aktiv
Vare-0040,4206,14516,99,4.4,IT Hardware,Lenovo Denmark,Tilbehør Zone 82,SKU-0040,Rulle,631,5,Aktiv
Vare-0041,656,3323,180,4,Tools,HP Inc Danmark,Hylde B1-94,SKU-0041,Rulle,98,4,Aktiv
Vare-0042,925,1067,330,3.7,IT Hardware,Logitech Nordic,Lager Zone 49,SKU-0042,Pakke,139,5,Aktiv
Vare-0043,1584,6123,491,4.9,Kabler,ASUS Denmark,Hylde B2-61,SKU-0043,Kasse,238,3,Aktiv
Vare-0044,2761,3533,290,5,IT Hardware,Logitech Nordic,Hylde A1-68,SKU-0044,Rulle,414,5,Aktiv
Vare-0045,3060,8118,450,5.5,Kabler,Apple Denmark,Hylde A1-42,SKU-0045,Sæt,459,9,Aktiv
Vare-0046,2773,6684,375,5.5,Ergonomi,ASUS Denmark,Tilbehør Zone 56,SKU-0046,Stk,416,5,Aktiv
Vare-0047,3542,1486,336,4.8,Kabler,ASUS Denmark,Warehouse-86,SKU-0047,Sæt,531,8,Fase Ud
Vare-0048,2553,10064,194,4.3,Ergonomi,OfficeSupply A/S,Hylde A1-46,SKU-0048,Kasse,383,3,Fase Ud
Vare-0049,4163,10742,327,5.3,Møbel,Logitech Nordic,Lager Zone 95,SKU-0049,Rulle,624,6,Aktiv
Vare-0050,2150,141,203,4.4,Warehouse,CableWorld ApS,Hylde B1-25,SKU-0050,Kasse,322,5,Fase Ud
Vare-0051,3809,6065,202,5,Møbel,Apple Denmark,Hylde A2-11,SKU-0051,Pakke,571,11,Aktiv
Vare-0052,3235,5303,350,5.1,Electronics,Dell Danmark A/S,Hylde B2-36,SKU-0052,Rulle,485,12,Fase Ud
Vare-0053,1995,152,216,3.7,Warehouse,OfficeSupply A/S,Hylde B1-71,SKU-0053,Æske,299,9,Aktiv
Vare-0054,1049,2711,283,3.6,Kabler,Logitech Nordic,Hylde B2-69,SKU-0054,Rulle,157,8,Aktiv
Vare-0055,1692,4279,405,4.7,Kabler,Logitech Nordic,Hylde A1-66,SKU-0055,Kasse,254,13,Aktiv
Vare-0056,343,8581,411,4.3,Belysning,ErgoShop ApS,Tilbehør Zone 57,SKU-0056,Sæt,51,3,Aktiv
Vare-0057,2173,1047,422,4,Warehouse,CableWorld ApS,Warehouse-85,SKU-0057,Sæt,326,7,Fase Ud
Vare-0058,4347,3792,423,4.5,Møbel,HP Inc Danmark,Tilbehør Zone 51,SKU-0058,Æske,652,4,Aktiv
Vare-0059,3776,8427,175,3.8,Kabler,CableWorld ApS,Hylde A2-57,SKU-0059,Rulle,566,8,Aktiv
Vare-0060,1787,1114,430,3.6,Tools,Logitech Nordic,Hylde B2-85,SKU-0060,Sæt,268,3,Aktiv
Vare-0061,2865,8657,291,4.7,IT Hardware,ASUS Denmark,Warehouse-31,SKU-0061,Kasse,430,2,Aktiv
Vare-0062,4871,14684,394,4.9,Kontorartikler,ASUS Denmark,Hylde B2-82,SKU-0062,Æske,731,1,Aktiv
Vare-0063,349,4948,250,5.6,Tools,ASUS Denmark,Hylde B1-92,SKU-0063,Æske,52,13,Fase Ud
Vare-0064,1672,14115,195,6.1,Belysning,Samsung Electronics,Hylde B1-3,SKU-0064,Pakke,251,7,Aktiv
Vare-0065,4139,10197,80,5.6,Electronics,ErgoShop ApS,Warehouse-2,SKU-0065,Æske,621,1,Aktiv
Vare-0066,1670,13196,377,4.4,Kontorartikler,ErgoShop ApS,IT-Lager Zone 46,SKU-0066,Æske,250,4,Aktiv
Vare-0067,4478,6908,344,4.5,Tilbehør,CableWorld ApS,Hylde A2-57,SKU-0067,Sæt,672,7,Aktiv
Vare-0068,3926,3644,452,4.8,Belysning,Logitech Nordic,Hylde A1-54,SKU-0068,Sæt,589,12,Aktiv
Vare-0069,2953,3415,436,4.6,Kontorartikler,Apple Denmark,Hylde B1-67,SKU-0069,Sæt,443,3,Aktiv
Vare-0070,687,9930,497,5.3,Electronics,Apple Denmark,Warehouse-20,SKU-0070,Rulle,103,13,Aktiv
Vare-0071,4480,2025,269,5.1,IT Hardware,Dell Danmark A/S,Hylde B2-19,SKU-0071,Sæt,672,1,Aktiv
Vare-0072,829,11233,98,4,Møbel,Lenovo Denmark,Hylde A1-91,SKU-0072,Stk,124,5,Aktiv
Vare-0073,1271,12878,315,5.6,Ergonomi,Lenovo Denmark,Hylde A1-6,SKU-0073,Pakke,191,3,Aktiv
Vare-0074,351,9083,171,3.9,Ergonomi,Apple Denmark,IT-Lager Zone 65,SKU-0074,Stk,53,13,Aktiv
Vare-0075,434,4619,247,3.5,Kabler,Samsung Electronics,Lager Zone 53,SKU-0075,Pakke,65,6,Fase Ud
Vare-0076,3522,10945,332,5.5,Ergonomi,ErgoShop ApS,Hylde A1-4,SKU-0076,Pakke,528,1,Aktiv
Vare-0077,1620,11375,112,5,Kontorartikler,CableWorld ApS,Tilbehør Zone 27,SKU-0077,Pakke,243,7,Aktiv
Vare-0078,795,2282,127,5.5,Belysning,Samsung Electronics,Hylde A2-59,SKU-0078,Kasse,119,7,Fase Ud
Vare-0079,3946,10848,183,6,Ergonomi,Logitech Nordic,IT-Lager Zone 65,SKU-0079,Æske,592,12,Aktiv
Vare-0080,3968,6178,329,4.9,Warehouse,OfficeSupply A/S,IT-Lager Zone 25,SKU-0080,Kasse,595,1,Fase Ud
Vare-0081,1465,6901,460,4.8,Kontorartikler,HP Inc Danmark,Hylde A2-75,SKU-0081,Pakke,220,7,Aktiv
Vare-0082,4895,3203,493,5.8,Electronics,Lenovo Denmark,IT-Lager Zone 20,SKU-0082,Stk,734,4,Aktiv
Vare-0083,1210,13913,135,4.4,Electronics,Logitech Nordic,IT-Lager Zone 78,SKU-0083,Æske,182,12,Aktiv
