Varenavn,Årsforbrug,Pris,Ordreomkostning,Rentesats,Kategori,Leverandør,Varenummer,EAN,Lagerlokation,Garanti (mdr),CPU/Spec,RAM (GB),Vægt (kg),Energiforbrug (W),Status,Certificering,Sidst Opdateret
Dell Precision 5570 Workstation,285,18500,450,5.5,Workstation,Dell Technologies,DELL-PREC-5570,5711783479826,Pro-WS-A01,36,Intel i7-12700H,32,2.0,130,Aktiv,Energy Star,2024-11-10
HP Z2 Tower G9 Workstation,165,22000,480,5.5,Workstation,HP Inc Danmark,HP-Z2-G9-TWR,5711045824756,Pro-WS-A02,36,Intel i9-12900K,64,8.5,500,Aktiv,TCO Certified,2024-11-08
Lenovo ThinkPad P1 Gen 5,340,19500,450,5.5,Workstation,Lenovo Denmark,LNV-P1G5-001,5711045136487,Pro-WS-A03,36,Intel i7-12800H,32,1.8,135,Aktiv,EPEAT Gold,2024-11-12
Apple MacBook Pro 16" M2,420,28000,500,5.5,Workstation,Apple Denmark,APPL-MBP16-M2,5711783895421,Pro-WS-A04,12,Apple M2 Max,32,2.2,140,Aktiv,Energy Star,2024-11-14
Microsoft Surface Laptop Studio,195,24500,470,5.5,Workstation,Microsoft Danmark,MSFT-SLS-i7,5711045736284,Pro-WS-A05,24,Intel i7-11370H,32,1.8,127,Aktiv,Energy Star,2024-11-09
Dell UltraSharp U2723DE 27",580,4200,280,4.8,Monitor,Dell Technologies,DELL-U2723DE,5711783264895,Display-B01,36,IPS 2560x1440,N/A,5.7,65,Aktiv,TCO Certified,2024-11-13
LG 34WN80C-B UltraWide 34",240,6800,320,4.8,Monitor,LG Electronics,LG-34WN80C-B,5711045958274,Display-B02,36,IPS 3440x1440,N/A,6.4,75,Aktiv,Energy Star,2024-11-11
BenQ PD3220U 32" 4K Designer,155,12500,380,4.8,Monitor,BenQ Denmark,BENQ-PD3220U,5711045632841,Display-B03,36,IPS 3840x2160,N/A,9.2,85,Aktiv,TCO Certified,2024-11-07
ASUS ProArt PA278QV 27",380,3850,280,4.8,Monitor,ASUS Denmark,ASUS-PA278QV,5711783147852,Display-B04,36,IPS 2560x1440,N/A,5.6,60,Aktiv,EPEAT Gold,2024-11-12
Samsung Odyssey G9 49" Curved,95,14500,400,4.8,Monitor,Samsung Denmark,SAM-OG9-49,5711045823946,Display-B05,36,VA 5120x1440,N/A,14.1,120,Aktiv,Energy Star,2024-11-05
Logitech MX Keys Advanced,890,1150,185,4.2,Tastatur,Logitech Nordic,LOG-MX-KEYS-ADV,5711783695841,Perif-C01,24,Wireless Backlit,N/A,0.8,N/A,Aktiv,N/A,2024-11-14
Keychron K8 Pro Mechanical,520,1380,195,4.2,Tastatur,Keychron Nordic,KEY-K8-PRO-RGB,5711045728364,Perif-C02,24,Wireless Mech RGB,N/A,0.85,N/A,Aktiv,N/A,2024-11-10
Ducky One 3 Mechanical RGB,340,1520,200,4.2,Tastatur,Ducky Channel,DUCK-ONE3-RGB,5711783524869,Perif-C03,24,Wired Mech RGB,N/A,0.92,N/A,Aktiv,N/A,2024-11-08
Logitech MX Master 3S,1240,850,170,4.2,Mus,Logitech Nordic,LOG-MX-M3S-BLK,5711783841256,Perif-C04,24,Wireless 8000 DPI,N/A,0.14,N/A,Aktiv,N/A,2024-11-15
Razer DeathAdder V3 Pro,480,1180,180,4.2,Mus,Razer Inc,RZR-DA-V3-PRO,5711045947362,Perif-C05,24,Wireless 30K DPI,N/A,0.063,N/A,Aktiv,N/A,2024-11-12
Logitech MX Ergo Trackball,290,950,175,4.2,Mus,Logitech Nordic,LOG-MX-ERGO,5711783652841,Perif-C06,24,Wireless Trackball,N/A,0.26,N/A,Aktiv,N/A,2024-11-11
Jabra Evolve2 85 ANC,380,3200,250,5.0,Headset,GN Audio Denmark,JAB-EV2-85-UC,5711045728951,Audio-D01,24,ANC BT Wireless,N/A,0.286,N/A,Aktiv,Teams Certified,2024-11-13
Sony WH-1000XM5 ANC,245,3800,260,5.0,Headset,Sony Denmark,SONY-WH1000XM5,5711783948527,Audio-D02,24,Premium ANC BT,N/A,0.25,N/A,Aktiv,Hi-Res Audio,2024-11-09
Bose 700 UC Headset,180,4200,270,5.0,Headset,Bose Denmark,BOSE-700-UC-BLK,5711045836274,Audio-D03,24,UC ANC Wireless,N/A,0.254,N/A,Aktiv,Teams Certified,2024-11-07
Sennheiser Momentum 4,165,3600,255,5.0,Headset,Sennheiser Nordic,SENH-MOM4-BLK,5711783847295,Audio-D04,24,ANC BT aptX,N/A,0.293,N/A,Aktiv,Hi-Res Audio,2024-11-05
HyperX Cloud Alpha Wireless,420,1850,210,5.0,Headset,Kingston HyperX,HPX-ALPHA-WRLS,5711045927461,Audio-D05,24,Gaming Wireless,N/A,0.318,N/A,Aktiv,N/A,2024-11-14
CalDigit TS4 Thunderbolt 4 Dock,210,4500,290,5.2,Dock,CalDigit Inc,CALD-TS4-TB4,5711783625841,Dock-E01,24,18 Ports TB4,N/A,0.58,98,Aktiv,TB4 Certified,2024-11-12
Anker 777 Thunderbolt Dock,285,3400,270,5.2,Dock,Anker Innovations,ANK-777-TB4,5711045847263,Dock-E02,24,12 Ports TB4,N/A,0.48,100,Aktiv,TB4 Certified,2024-11-13
Kensington SD5700T Dock,195,3800,280,5.2,Dock,Kensington Denmark,KENS-SD5700T,5711783736294,Dock-E03,24,11 Ports TB4,N/A,0.52,96,Aktiv,TB4 Certified,2024-11-10
